,tweets,time,language,translated_tweets
0,Man sollte die armen Schüler vor seinen Texten schützen:,2022-12-18 07:40:38+00:00,"((0, 58, 'GERMAN', 'de'),)",One should protect the poor students from his texts:
1,Ein FDP-ler fordert flächendeckend Tempo 30 ... dran denken bei den Wahlen 2023!,2022-12-18 07:32:44+00:00,"((0, 81, 'GERMAN', 'de'),)",An FDP-ler is calling for full speed 30 ... remember in the 2023 elections!
2,will ein verdientes Mitglied im Swisscom-VR in ihren letzten Tagen als Bundesrätin handstreichartig durch ihren Generalsekretär ersetzen - das ist übelste Vetterliwirtschaft! Und zudem: Wie nahe stehen sich die zwei?,2022-12-17 06:32:27+00:00,"((0, 219, 'GERMAN', 'de'),)",A well-deserved member of the Swisscom-VR wants to hand-pickedly replace her secretary-general in her last days as Federal Councillor - this is the worst nepotism! And also: How close are the two?
3,"Zufällig  gesehen … ist das echt die beste Moderatorin, die zur Verfügung stand?",2022-12-17 04:47:11+00:00,"((0, 84, 'GERMAN', 'de'),)",By chance... is this really the best presenter available?
4,"Die Armee gehört an die Grenze! Was heute beschlossen wurde, ist reine Symptombekämpfung! «Subsidiärer Einsatz» wie bei Corona: Bund bietet wegen Flüchtlings-Ansturm die Armee auf",2022-12-16 11:18:43+00:00,"((0, 185, 'GERMAN', 'de'),)",The army belongs to the border! What was decided today is pure symptom-fighting! «Subsidiary deployment» as with Corona: Federation offers the army because of refugee rush
5,"Immer wieder spannend, die Ausgewogenheit der Berichterstattung der   zu beobachten … blau über SVP-Rösti - rot über SP-Baume-Schneider …",2022-12-16 06:44:22+00:00,"((0, 144, 'GERMAN', 'de'),)",Time and again exciting to observe the balance of reporting the ... blue about SVP-Rösti - red over SP-tree cutters ...
6,Sollte man nicht eher die Schüler vor Philipp Wampflers  Texten schützen - unvergessen sein Blog:,2022-12-16 06:41:38+00:00,"((0, 99, 'GERMAN', 'de'),)",Shouldn't you rather protect the students from Philipp Wampfler's texts - be unforgettable blog:
7,"Nein, natürlich Gas-Import mittels Schiffen, welche für die Überfahrt 3200 to Rohöl verbrauchen … (Ironie off)",2022-12-12 09:16:11+00:00,"((0, 116, 'GERMAN', 'de'),)","No, of course, gas import by means of ships that consume 3200 tons of crude oil for the crossing ... (Ironie off)"
8,"Mit Ideologie lässt sich weder Strom gewinnen, noch heizen …",2022-12-12 03:54:12+00:00,"((0, 63, 'GERMAN', 'de'),)","Ideology cannot generate electricity, nor can it heat ..."
9,"… bei Frau NR Badran ist jede Unflätigkeit als Humor zu werten - ein SVP-ler, der Gleiches über Frau NR Badran schriebe, würde von den Medien gejagt und müsste zurücktreten …",2022-12-10 08:11:03+00:00,"((0, 183, 'GERMAN', 'de'),)","... with Mrs. NR Badran every lack of clarity is to be regarded as humor - an SVP-ler, who wrote the same about Mrs. NR Badran, would be chased by the media and would have to resign ..."
