Unnamed: 0,tweets,time,language,translated_tweets
0,"Intéressant, même si ces graphiques se basent sur le canton de Zürich.",2022-12-13 09:03:59+00:00,"((0, 73, 'FRENCH', 'fr'),)","[{'translation_text': 'Interesting, even if these graphs are based on the canton of Zürich.'}]"
1,"Montrer les muscles n'est jamais la solution, il faut garder la tête froide et tout faire pour que la tension diminue. Le troupes de la  dont fait partie la swisscoy ( s'engagent pour la paix, nous comptons sur vous !",2022-12-13 07:44:26+00:00,"((0, 218, 'FRENCH', 'fr'),)","[{'translation_text': 'Showing muscles is never the solution, you have to keep your head cold and do everything to reduce tension. The troops of which the swisscoy is part (commit to peace, we rely on you!'}]"
2,"Pour une Suisse forte avec l'Europe.
aucoeurdeleurope",2022-12-06 07:52:00+00:00,"((0, 53, 'FRENCH', 'fr'),)",[{'translation_text': 'For a strong Switzerland with Europe. aucoeurdeleurope'}]
4,Cela ne va pas très vite entre Fribourg et Lausanne...,2022-12-01 15:03:16+00:00,"((0, 55, 'FRENCH', 'fr'),)","[{'translation_text': ""It doesn't go very fast between Fribourg and Lausanne...""}]"
5,"Dans les conflits du monde entier, ce sont souvent les populations civiles innocentes qui souffrent. La Suisse doit fournir du matériel de protection dans ces cas de figure. Signez notre pétition pour que la Suisse puisse accomplir son devoir humanitaire.",2022-11-28 14:27:05+00:00,"((0, 257, 'FRENCH', 'fr'),)","[{'translation_text': 'In conflicts around the world, it is often the innocent civilian populations who suffer. Switzerland must provide protective equipment in these cases. Sign our petition so that Switzerland can fulfil its humanitarian duty.'}]"
6,🤦,2022-11-27 14:23:46+00:00,(),NA
7,"Je crois le faire dans la limite de mes capacités. Informer, expliquer et convaincre est le quotidiens de la vie politique.",2022-11-22 10:46:49+00:00,"((0, 124, 'FRENCH', 'fr'),)","[{'translation_text': 'I believe I do so within the limits of my abilities. Informing, explaining and persuading is the daily life of politics.'}]"
8,"C'est aussi aux électeurs d'accepter les incitations (et l'internalisation des coûts externes). La loi CO2 a été refusée, espérons que le contre projet à l'initiative des glaciers sera accepté",2022-11-22 08:30:23+00:00,"((0, 200, 'FRENCH', 'fr'),)","[{'translation_text': 'It is also for voters to accept incentives (and the internalisation of external costs). The CO2 law has been refused, hopefully the counter-project at the initiative of glaciers will be accepted'}]"
9,C'est aussi le lobby du pétrole qui combat le contre projet indirecte à l'initiative des glaciers. Contre projet qui contient plusieurs milliards d'incitation...étrange non ?,2022-11-21 17:53:29+00:00,"((0, 177, 'FRENCH', 'fr'),)","[{'translation_text': 'It is also the oil lobby that fights against indirect project at the initiative of glaciers. Against project that contains several billions of incentives... strange, right?'}]"
11,"Pour limiter les transports, ne serait-il pas plus raisonnable de prévoir une offre de vin bio suisse ?",2022-11-13 09:34:02+00:00,"((0, 104, 'FRENCH', 'fr'),)","[{'translation_text': 'In order to limit transport, would it not be more reasonable to provide for an offer of Swiss organic wine?'}]"
12,Le samedi 19 novembre je serai à Corsier-sur-Vevey pour discuter écologie et politique. Merci à Demain à Corsier ( de nous offrir cette occasion de rencontre.,2022-11-13 07:10:00+00:00,"((0, 162, 'FRENCH', 'fr'),)","[{'translation_text': 'On Saturday, November 19, I will be in Corsier-sur-Vevey to discuss ecology and politics. Thanks to tomorrow to Corsier (to offer us this opportunity to meet.'}]"
13,"Lettre de lecteur parue dans  .
""Il est temps de soutenir ceux qui œuvrent dans la bonne direction et de s’engager dans des actions concrètes et constructives.""",2022-11-11 08:12:01+00:00,"((0, 164, 'FRENCH', 'fr'),)","[{'translation_text': 'Reader\'s letter appeared in . ""It\'s time to support those who work in the right direction and engage in concrete and constructive actions.""'}]"
14,"Un peu étranges vos F-16,",2022-11-04 13:52:21+00:00,"((0, 26, 'Unknown', 'un'),)",NA
15,J'aimerais pouvoir le croire...,2022-11-03 18:00:05+00:00,"((0, 31, 'Unknown', 'un'),)",NA
16,"""À quoi joue le PS en draguant les femmes romandes?""
En effet leur stratégie est difficilement compréhensible...",2022-11-03 17:58:19+00:00,"((0, 115, 'FRENCH', 'fr'),)","[{'translation_text': '""What does the PS play in dredging Romance women?"" Indeed, their strategy is difficult to understand...'}]"
20,Je croyais que les rentes à vie devaient éviter ce genre de relations ?,2022-11-01 05:46:39+00:00,"((0, 73, 'FRENCH', 'fr'),)",[{'translation_text': 'I thought lifetime annuities should avoid this kind of relationship?'}]
21,"Si la croix fédérale n'est pas assurée,  le réseau ne tiendra pas, aussi au niveau local. Le reseau RER vaudous ( par exemple) ne peut vivre qu'avec de bonnes correspondances longues et moyennes distances.",2022-10-30 16:50:20+00:00,"((0, 209, 'FRENCH', 'fr'),)","[{'translation_text': 'If the federal cross is not guaranteed, the network will not hold, also at the local level. The RER Vaudus network (for example) can only live with good long and medium distances.'}]"
22,"Si nous laissons l'offre se dégrader, il y aura un retour au transport individuel et ce n'est vraiment pas la direction à prendre.",2022-10-30 06:01:33+00:00,"((0, 132, 'FRENCH', 'fr'),)","[{'translation_text': 'If we let the offer deteriorate, there will be a return to individual transport and this is really not the direction to take.'}]"
23,Le risque actuel est une baisse d'offre sur les trains longue distance à partir de Lausanne (ou Genève).,2022-10-29 15:14:03+00:00,"((0, 106, 'FRENCH', 'fr'),)",[{'translation_text': 'The current risk is a drop in supply on long-distance trains from Lausanne (or Geneva).'}]
24,Les  sont orientés solution et regarde vers l'avenir.,2022-10-29 14:22:44+00:00,"((0, 54, 'FRENCH', 'fr'),)",[{'translation_text': 'They are solution oriented and look to the future.'}]
25,Le train est efficace grâce à une offre attractive...si vous baisser l'offre les gens retournerons à la voiture. Et bonjour les trajet Lausanne-Zürich en voiture.,2022-10-29 04:49:56+00:00,"((0, 166, 'FRENCH', 'fr'),)",[{'translation_text': 'The train is efficient thanks to an attractive offer... if you lower the offer people will return to the car. And hello the Lausanne-Zürich journeys by car.'}]
26,"Le manque de vitesse va provoquer des rupture de correspondances. Le risque est qu'il n'y aura plus de trains directs entre Zürich et Lausanne, par exemple.",2022-10-28 12:33:09+00:00,"((0, 157, 'FRENCH', 'fr'),)","[{'translation_text': 'The lack of speed will lead to the breakdown of connections. The risk is that there will be no more direct trains between Zurich and Lausanne, for example.'}]"
27,"Pas si simple, le Conseil fédéral change de stratégie en oubliant qu'il lui reste à honorer ses promesses de plus de vitesse entre Genève et Bern (et St-Gall-Winterthur)",2022-10-28 08:42:30+00:00,"((0, 174, 'FRENCH', 'fr'),)","[{'translation_text': 'Not so simple, the Federal Council changes its strategy forgetting that it still has to honour its promises of speed between Geneva and Bern (and St-Gall-Winterthur)'}]"
28,"C'est fou ce que les trains vont vite entre Zürich et Bern.
On peut avoir les mêmes entre Bern et Genève ?
  rail2000",2022-10-28 06:57:12+00:00,"((0, 120, 'FRENCH', 'fr'),)","[{'translation_text': ""It's crazy what trains go fast between Zürich and Bern. Can we have the same trains between Bern and Geneva?""}]"
35,La rénovation des bâtiments oui et l'arrêt des énergies fossiles aussi en produisant de l'énergie renouvelable. Il est clair que nous avons un manque demain d'oeuvres mais pour l'instant je n'ai connaissance d'aucune solution concrète pour régler ce problème.,2022-10-24 17:37:05+00:00,"((0, 267, 'FRENCH', 'fr'),)",[{'translation_text': 'The renovation of buildings yes and the cessation of fossil fuels also by producing renewable energy. It is clear that we have a lack of works tomorrow but for the moment I have no concrete solution to this problem.'}]
